variant_id,product_id,title,tags,price,listed_at,first_sale_at,event,days,batch_size,snapshot
40382025072704,7028453703744,Stranger Things Season 4 Mike with Will's Painting Funko Pop! Vinyl Figure #1539,Funko Pops!|Movies & TV|Stranger Things,12.99,2024-09-06,2025-09-28,1,387,10,2026-09-05
40382026252352,7028454260800,Stranger Things Season 4 Chrissy Floating Bloody Funko Pop! Vinyl Figure #1538,Funko Pops!|Movies & TV|Stranger Things,14.99,2024-09-06,2025-02-13,1,160,10,2026-09-05
40382028218432,7028455276608,Stranger Things Season 4 Murray with Flamethrower Funko Pop! Vinyl Figure #1543,Funko Pops!|Movies & TV|Stranger Things,14.99,2024-09-06,2026-01-01,1,482,10,2026-09-05
40382757044288,7028867268672,Marvel Holiday Spiderman with Open Gift Funko Pop! Vinyl Figure #1441,Funko Pops!|Marvel|Spider-Man,12.99,2024-09-06,,0,729,10,2026-09-05
40382757142592,7028867301440,Marvel Holiday Deadpool Funko Pop! Vinyl Figure #1442,Deadpool|Funko Pops!|Marvel,12.99,2024-09-06,2025-05-10,1,246,10,2026-09-05
40382757240896,7028867366976,Marvel Holiday Red Hulk with Snowman Funko Pop! Vinyl Figure #1439,Avengers|Funko Pops!|Marvel,12.99,2024-09-06,,0,729,10,2026-09-05
40382757568576,7028867465280,Marvel Holiday Groot Funko Pop! Vinyl Figure #1440,Funko Pops!|Guardians of the Galaxy|Marvel,12.99,2024-09-06,2026-06-13,1,645,10,2026-09-05
40382757765184,7028867563584,Marvel Holiday Captain America Funko Pop! Vinyl Figure #1438,Captain America|Funko Pops!|Marvel,12.99,2024-09-06,,0,729,10,2026-09-05
40382757994560,7028867661888,House of the Dragon Daemon Targaryen Funko Pop! Vinyl Figure #17,Funko Pops!|House of the Dragon|Movies & TV,12.99,2024-09-06,2024-09-07,1,1,10,2026-09-05
40382758649920,7028867825728,House of the Dragon Alicent Hightower Funko Pop! Vinyl Figure #20,Funko Pops!|House of the Dragon|Movies & TV,12.99,2024-09-06,2024-09-07,1,1,10,2026-09-05
40382759043136,7028867891264,House of the Dragon Baela Targaryen with Crossbow Funko Pop! Vinyl Figure #19,Funko Pops!|House of the Dragon|Movies & TV,12.99,2024-09-07,2024-09-07,1,0,4,2026-09-05
40382759108672,7028867924032,House of the Dragon Jacaerys Velaryon Funko Pop! Vinyl Figure #18,Funko Pops!|House of the Dragon|Movies & TV,12.99,2024-09-07,2024-09-07,1,0,4,2026-09-05
40382759206976,7028867989568,House of the Dragon Rhaenyra Targaryen Funko Pop! Vinyl Figure #16,Funko Pops!|House of the Dragon|Movies & TV,12.99,2024-09-07,2024-09-07,1,0,4,2026-09-05
40383062835264,7028925562944,Star Wars Fett Legacy Boba Fett with Rockets Funko Pop! Vinyl Figure #734,Funko Pops!|Movies & TV|Star Wars,12.99,2024-09-07,2025-01-02,1,117,4,2026-09-05
40383209766976,7028974190656,Emperor (The Joker) #457,Batman|Funko Pops!,16.99,2024-09-08,2024-11-21,1,74,16,2026-09-05
40383209996352,7028974256192,Batman Classic TV Series - Surf's Up! The Joker #134,Disney|Funko Pops!|Up!,16.99,2024-09-08,,0,727,16,2026-09-05
40383210127424,7028974288960,DC Super Heroes - The Joker as Jack Frost #359,Batman|DC Comics|Funko Pops!,17.99,2024-09-08,2024-11-21,1,74,16,2026-09-05
40383210455104,7028974420032,The Joker (Martha Wayne) #203,Batman|Funko Pops!,23.99,2024-09-08,2025-02-01,1,146,16,2026-09-05
40383210520640,7028974452800,DC Super Heroes - The Joker w/Playing Card (Dia De Los DC) #414,Batman|DC Comics|Funko Pops!,12.99,2024-09-08,2025-12-11,1,459,16,2026-09-05
40383210684480,7028974583872,The Joker (Blacklight/DCeased #480,Batman|DC Comics|Funko Pops!,17.99,2024-09-08,,0,727,16,2026-09-05
40383211012160,7028974780480,DC Super Heroes - The Joker (Death of the Family) #273,Batman|DC Comics|Funko Pops!,20.99,2024-09-08,2024-09-29,1,21,16,2026-09-05
40383211634752,7028974944320,DC Universe - The Joker #06,Batman|DC Comics|Funko Pops!,54.99,2024-09-08,,0,727,16,2026-09-05
40383212159040,7028975108160,Loungefly Marvel Spider-Man Spider-Gwen Sequin Mini Backpack,Backpack|Backpacks|Loungefly|Marvel|Spider-Man,69.99,2024-09-08,2024-12-30,1,113,16,2026-09-05
40383212355648,7028975173696,Loungefly SpongeBob SquarePants Patrick & SpongeBob Jellyfishing Mini Backpack,Backpack|Backpacks|Loungefly,66.99,2024-09-08,2025-04-03,1,207,16,2026-09-05
40383212421184,7028975206464,Loungefly Disney Lilo & Stitch Scrump & Stitch Mini Backpack,Backpack|Backpacks|Lilo & Stitch|Loungefly,67.99,2024-09-08,2025-03-15,1,188,16,2026-09-05
40383212519488,7028975239232,Loungefly Disney Moana Pua Canoe Mini Backpack,Backpack|Backpacks|Loungefly|Moana,71.99,2024-09-08,2024-10-20,1,42,16,2026-09-05
40383212945472,7028975370304,Funko Five Nights At Freddy's Pop! Games Marionette Vinyl #1007,Five Nights at Freddy's|Funko Pops!|Video Games,18.99,2024-09-08,2025-02-16,1,161,16,2026-09-05
40383274647616,7028993720384,Lilo & Stitch Holiday Stitch with Lights Funko Pop! Vinyl Figure #1504,Disney|Funko Pops!|Lilo & Stitch,13.99,2024-09-08,2024-11-02,1,55,16,2026-09-05
40383274745920,7028993785920,Lilo & Stitch Holiday Stitch with Hat Funko Pop! Vinyl Figure #1503,Disney|Funko Pops!|Lilo & Stitch,13.99,2024-09-08,2024-10-13,1,35,16,2026-09-05
40383274909760,7028993851456,Lilo & Stitch Holiday Stitch with Candy Cane Funko Pop! Vinyl Figure #1502,Disney|Funko Pops!|Lilo & Stitch,13.99,2024-09-08,,0,727,16,2026-09-05
40385716060224,7030406676544,Deadpool & Wolverine Wolverine Funko Pop! Vinyl Figure #1363,Deadpool|Funko Pops!|Marvel,13.99,2024-09-10,2025-02-21,1,164,4,2026-09-05
40385717895232,7030407168064,pider-Man: Across The Spider-Verse Spider-Punk Unmasked Funko Pop! Vinyl Figure #1411,Funko Pops!|Marvel|Spider-Man,12.99,2024-09-10,2024-10-05,1,25,4,2026-09-05
40385719861312,7030407692352,Pixar Halloween Mike Funko Pop! Vinyl Figure #1487,Funko Pops!|Holiday,12.99,2024-09-10,2025-06-22,1,285,4,2026-09-05
40385721532480,7030408380480,Friends Ross Geller with Leather Pants Funko Pop! Vinyl Figure #1278,Funko Pops!|More Movies & TV|Movies & TV,14.99,2024-09-10,2025-05-10,1,242,4,2026-09-05
40387397255232,7030735700032,Batman The World Funko Pop! Comic Cover Figure #17 with Case,Batman|DC Comics|Funko Pops!,19.99,2024-09-12,2025-10-05,1,388,11,2026-09-05
40387402104896,7030736519232,The Wizard of Oz 85th Anniversary Wizard of Oz with Emerald City Funko Pop! Town #38,Deluxe|Emerald City|funko|Funko Pop|Movies|town|Wizard of Oz,44.99,2024-09-12,2024-10-12,1,30,11,2026-09-05
40387404103744,7030736879680,WWE The Miz with Briefcase Funko Pop! Vinyl Figure #169,Funko Pops!|Sports|WWE,14.99,2024-09-12,2024-10-20,1,38,11,2026-09-05
40387405054016,7030737043520,WWE Diamond Dallas Page Funko Pop! Vinyl Figure #166,Funko Pops!|Sports|WWE,12.99,2024-09-12,2024-10-20,1,38,11,2026-09-05
40387405971520,7030737240128,WWE Hulk Hogan Wolfpac Funko Pop! Vinyl Figure #167,Funko Pops!,16.99,2024-09-12,2024-11-14,1,63,11,2026-09-05
40387409444928,7030738026560,Batman & Robin Poison Ivy Funko Pop! Vinyl Figure #531,Batman|DC Comics|Funko Pops!,13.99,2024-09-12,2024-12-26,1,105,11,2026-09-05
40387411607616,7030738354240,Batman Forever The Riddler Metallic Funko Pop! Vinyl Figure #530,Batman|Funko Pops!,13.99,2024-09-12,2024-12-26,1,105,11,2026-09-05
40387412623424,7030738550848,Batman Returns The Penguin Funko Pop! Vinyl Figure #529,Batman|DC Comics|Funko Pops!,13.99,2024-09-12,2025-01-10,1,120,11,2026-09-05
40387413377088,7030738714688,Batman Returns Catwoman Funko Pop! Vinyl Figure #528,Batman|DC Comics|Funko Pops!,13.99,2024-09-12,,0,723,11,2026-09-05
40387415441472,7030739304512,Moana Maui Funko Pop! Vinyl Figure #214,Disney|Funko Pops!|Moana,13.99,2024-09-12,2025-01-18,1,128,11,2026-09-05
40387417800768,7030739730496,Michael Jackson Off the Wall Funko Pop! Album Figure #58 with Case,Funko Pops!|Music & Pop Culture Icons|Pop,54.99,2024-09-12,2025-08-30,1,352,11,2026-09-05
40390883508288,7032009916480,Spider-Man: Across The Spider-Verse Miles G Morales Funko Pop! Vinyl Figure #1412,Funko Pops!|Spider-Man,13.99,2024-09-14,2024-12-26,1,103,1,2026-09-05
40392572633152,7032422334528,DC Comics Holiday 2024 Supergirl Funko Pop! Vinyl Figure #526,DC Comics|Funko Pops!|Superman,12.99,2024-09-15,2024-12-14,1,90,26,2026-09-05
40392573222976,7032422662208,DC Comics Holiday 2024 Poison Ivy Funko Pop! Vinyl Figure #528,DC Comics|Funko Pops!,12.99,2024-09-15,2026-07-05,1,658,26,2026-09-05
40392574697536,7032423022656,DC Comics Holiday 2024 Harley Quinn Funko Pop! Vinyl Figure #529,Batman|DC Comics|Funko Pops!,13.99,2024-09-15,2026-08-15,1,699,26,2026-09-05
40392575418432,7032423186496,DC Comics Holiday 2024 Catwoman Funko Pop! Vinyl Figure #525,Batman|DC Comics|Funko Pops!,12.99,2024-09-15,2025-02-08,1,146,26,2026-09-05
40392576270400,7032423350336,DC Comics Holiday 2024 Batgirl Funko Pop! Vinyl Figure #527,Batman|DC Comics|Funko Pops!,12.99,2024-09-15,2026-08-15,1,699,26,2026-09-05
40392577417280,7032423743552,Yellowstone Teeter Funko Pop! Vinyl Figure #1564,Funko Pops!|More Movies & TV|Movies & TV|Western|Yellowstone,12.99,2024-09-15,2025-05-31,1,258,26,2026-09-05
40392578170944,7032424005696,Yellowstone Lloyd Pierce Funko Pop! Vinyl Figure #1562,Funko Pops!|More Movies & TV|Movies & TV|Western|Yellowstone,12.99,2024-09-15,,0,720,26,2026-09-05
